,p1_conf,p1_dog
875,0.113992,True
876,0.760546,True
877,0.132695,False
878,0.988013,True
880,0.3022,True
881,0.155279,False
882,0.917525,False
885,0.324579,True
886,0.355395,True
887,0.985876,True
888,0.967397,True
889,0.763333,True
890,0.223148,True
892,0.5113409999999999,True
893,0.254856,True
894,0.12903399999999998,True
895,0.778546,True
896,0.974047,False
897,0.480048,True
898,0.848514,True
899,0.546145,True
900,0.4363770000000001,True
901,0.702954,True
902,0.987643,True
904,0.794272,False
905,0.609715,False
906,0.802333,False
907,0.425176,False
908,0.829259,True
909,0.8361059999999999,False
910,0.8452559999999999,False
911,0.523926,False
912,0.787125,True
913,0.914667,True
914,0.678555,True
915,0.790371,True
916,0.294808,True
917,0.991273,False
918,0.981652,True
919,0.925621,False
920,0.602957,True
921,0.596882,True
922,0.906673,False
923,0.708974,True
924,0.27220500000000003,True
925,0.8723850000000001,True
926,0.4714930000000001,False
927,0.596796,False
928,0.858513,True
929,0.168909,True
930,0.600985,True
931,0.456092,True
932,0.267961,False
933,0.163794,True
934,0.36007100000000003,True
936,0.194773,True
938,0.868511,True
940,0.609283,True
942,0.299966,True
943,0.339324,False
945,0.999984,False
946,0.399163,True
947,0.303415,False
948,0.527659,True
950,0.4241680000000001,True
951,0.703569,True
953,0.757756,True
954,0.8683040000000001,True
955,0.516257,True
956,0.714409,True
957,0.178852,True
958,0.947164,True
959,0.92939,True
960,0.912648,True
961,0.972587,True
962,0.219166,False
963,0.964929,True
964,0.672791,True
966,0.977765,True
967,0.4780180000000001,True
968,0.814405,True
969,0.316704,True
970,0.978277,True
971,0.382113,True
972,0.484428,True
973,0.252031,True
974,0.258732,True
975,0.23762,False
976,0.515319,True
977,0.533941,False
978,0.8790120000000001,True
979,0.772894,True
980,0.694541,True
981,0.973715,True
982,0.155144,True
984,0.985222,True
985,0.960276,False
986,0.742216,True
987,0.742912,True
988,0.548497,False
989,0.849029,True
990,0.337871,False
991,0.176172,False
992,0.32816100000000004,True
993,0.5964550000000001,True
995,0.880499,True
996,0.589066,False
998,0.307672,True
999,0.998201,True
1000,0.40845,True
1001,0.360428,True
1002,0.7689229999999999,True
1005,0.804363,True
1006,0.389136,True
1007,0.111493,True
1008,0.192717,False
1011,0.548018,True
1012,0.5336989999999999,False
1013,0.991954,True
1014,0.540201,True
1015,0.175518,False
1016,0.936183,True
1018,0.25650500000000004,True
1021,0.508292,True
1022,0.622957,True
1023,0.575637,True
1024,0.43332,True
1025,0.984267,True
1026,0.379055,False
1027,0.999962,False
1028,0.6638,True
1029,0.807762,False
1031,0.963985,True
1032,0.4274810000000001,True
1033,0.497755,True
1034,0.234431,True
1035,0.960543,True
1036,0.825333,True
1038,0.97573,True
1039,0.562315,True
1041,0.982794,True
1042,0.505675,False
1043,0.876875,False
1044,0.8590459999999999,False
1045,0.442612,True
1046,0.350629,True
1047,0.930705,True
1049,0.900864,False
1050,0.997154,False
1051,0.99731,True
1052,0.5669109999999999,True
1053,0.990736,False
1054,0.112413,False
1055,0.311325,True
1056,0.786089,True
1057,0.292675,True
1058,0.7681560000000001,True
1060,0.843799,True
1061,0.454363,True
1062,0.388277,True
1063,0.878863,False
1064,0.462952,False
1065,0.8076439999999999,True
1066,0.246313,False
1067,0.8636870000000001,True
1068,0.586414,True
1069,0.2858,True
1070,0.243904,True
1071,0.342397,True
1073,0.933755,True
1074,0.967397,True
1075,0.640256,True
1076,0.503372,True
1078,0.8783200000000001,False
1079,0.691137,True
1080,0.808737,True
1081,0.346695,True
1082,0.289471,True
1083,0.8788860000000001,True
1084,0.751758,True
1085,0.990391,True
1086,0.374682,True
1087,0.935307,True
1088,0.400568,True
1089,0.148526,False
1090,0.4390770000000001,False
1091,0.545502,True
1093,0.473555,False
1094,0.399217,True
1095,0.553901,True
1096,0.961643,True
1097,0.462594,True
1098,0.8918709999999999,True
1099,0.944692,False
1100,0.523191,True
1101,0.413535,True
1102,0.847292,True
1103,0.883991,True
1104,0.304902,True
1106,0.472324,True
1107,0.457356,True
1108,0.619382,True
1109,0.931275,True
1110,0.945523,True
