	year	quarter	origin	ticket_carrier	operating_carrier	passengers
105181	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105183	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105185	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
105187	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105189	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
105191	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
106173	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
106381	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
106383	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
106718	2008	4	ORD	Delta Air Lines	Delta Air Lines	1
106895	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
107073	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
107597	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
107776	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
109185	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
109187	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
109358	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
109360	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
110367	2008	4	ORD	American Airlines	American Airlines	1
110369	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
110371	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
112686	2008	4	ORD	United Air Lines	United Air Lines	1
114967	2008	4	ORD	Alaska Airlines	99	1
114969	2008	4	ORD	American Airlines	American Airlines	1
116628	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116785	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116787	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
116789	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116791	2008	4	ORD	Alaska Airlines	Alaska Airlines	7
116793	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
116795	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
116797	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116799	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116801	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116803	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116805	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116807	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116809	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116811	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116813	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
116815	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116817	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116819	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116821	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116923	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116925	2008	4	ORD	Alaska Airlines	99	1
116927	2008	4	ORD	Alaska Airlines	99	1
116929	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116931	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116933	2008	4	ORD	Alaska Airlines	Alaska Airlines	6
116935	2008	4	ORD	Alaska Airlines	Alaska Airlines	4
116937	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116939	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
116941	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
117551	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
117553	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
117555	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
117566	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
117568	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
117570	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
118443	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119236	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119405	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119407	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
119409	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119411	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
119413	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
119415	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119417	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119419	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119421	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
119423	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119425	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119427	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119429	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119431	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119433	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119520	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119522	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119524	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
119526	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
119528	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
119530	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
119532	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
121796	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122374	2008	4	ORD	United Air Lines	United Air Lines	1
122412	2008	4	ORD	American Airlines	99	1
122421	2008	4	ORD	American Airlines	99	1
122425	2008	4	ORD	Alaska Airlines	99	1
122427	2008	4	ORD	Alaska Airlines	99	1
122429	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122431	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122433	2008	4	ORD	Alaska Airlines	Alaska Airlines	3
122435	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122437	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
122439	2008	4	ORD	Alaska Airlines	Alaska Airlines	2
122441	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122443	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122445	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122447	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122449	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122451	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122453	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122455	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122457	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122459	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122461	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
122463	2008	4	ORD	Alaska Airlines	99	1
122465	2008	4	ORD	Alaska Airlines	99	1
122467	2008	4	ORD	Alaska Airlines	99	1
122469	2008	4	ORD	Alaska Airlines	99	1
122471	2008	4	ORD	Alaska Airlines	99	1
122473	2008	4	ORD	Alaska Airlines	99	1
122475	2008	4	ORD	Alaska Airlines	99	1
122477	2008	4	ORD	Alaska Airlines	99	1
122479	2008	4	ORD	Alaska Airlines	99	1
122481	2008	4	ORD	Alaska Airlines	99	1
124133	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
124161	2008	4	ORD	Alaska Airlines	99	1
124614	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125596	2008	4	ORD	Alaska Airlines	99	1
125625	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125627	2008	4	ORD	Alaska Airlines	Alaska Airlines	4
125629	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
125631	2008	4	ORD	Alaska Airlines	Alaska Airlines	1
