	year	 month	carrier	carrier_name	airport	airport_name	arr_flights	arr_del15	carrier_ct	 weather_ct	nas_ct	security_ct	late_aircraft_ct	arr_cancelled	arr_diverted	 arr_delay	 carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	Unnamed: 21
34	2003	8	UA	United Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	10503.0	1951.0	288.5	50.83	1249.67	0.22	361.79	214.0	51.0	151727.0	20693.0	5510.0	90624.0	8.0	34892.0	
35	2003	8	US	US Airways Inc.	ORD	Chicago, IL: Chicago O'Hare International	516.0	172.0	23.3	9.14	83.75	0.0	55.81	30.0	3.0	11135.0	1187.0	573.0	5229.0	0.0	4146.0	
36	2003	9	AA	American Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	7576.0	1358.0	167.11	24.19	969.51	0.0	197.19	129.0	9.0	69979.0	12764.0	1434.0	43644.0	0.0	12137.0	
37	2003	9	AS	Alaska Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	29.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	148.0	0.0	0.0	148.0	0.0	0.0	
38	2003	9	CO	Continental Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	421.0	102.0	6.84	3.87	67.61	0.0	23.67	9.0	0.0	5629.0	197.0	216.0	4111.0	0.0	1105.0	
39	2003	9	DH	Atlantic Coast Airlines	ORD	Chicago, IL: Chicago O'Hare International	3984.0	676.0	81.34	8.75	502.86	3.32	79.73	48.0	6.0	33137.0	4526.0	405.0	24041.0	54.0	4111.0	
40	2003	9	DL	Delta Air Lines Inc.	ORD	Chicago, IL: Chicago O'Hare International	488.0	110.0	21.22	0.55	76.91	0.0	11.32	4.0	2.0	4706.0	961.0	25.0	3261.0	0.0	459.0	
41	2003	9	EV	Atlantic Southeast Airlines	ORD	Chicago, IL: Chicago O'Hare International	142.0	36.0	9.84	6.84	17.87	0.0	1.44	1.0	0.0	1890.0	459.0	547.0	809.0	0.0	75.0	
42	2003	9	HP	America West Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	236.0	77.0	18.96	0.0	55.61	0.0	2.43	0.0	0.0	3349.0	1087.0	0.0	2184.0	0.0	78.0	
43	2003	9	MQ	American Eagle Airlines Inc.	ORD	Chicago, IL: Chicago O'Hare International	5687.0	914.0	60.68	17.64	474.96	0.16	360.57	143.0	5.0	45157.0	4708.0	1487.0	21674.0	4.0	17284.0	
